cpro,año,pob_18_34
2,2022,73008
2,2021,73598
2,2020,74323
2,2019,74874
2,2018,75885
2,2017,77726
2,2016,79910
2,2015,82729
2,2014,85732
2,2013,89282
2,2012,92651
2,2011,95226
3,2022,337887
3,2021,336852
3,2020,339678
3,2019,336775
3,2018,335644
3,2017,339349
3,2016,349951
3,2015,362974
3,2014,377606
3,2013,402969
3,2012,417860
3,2011,431435
4,2022,152044
4,2021,150639
4,2020,152240
4,2019,151398
4,2018,151188
4,2017,153949
4,2016,157907
4,2015,162125
4,2014,168134
4,2013,172905
4,2012,181048
4,2011,189667
33,2022,138298
33,2021,141044
33,2020,144276
33,2019,147218
33,2018,151686
33,2017,157294
33,2016,164643
33,2015,173068
33,2014,183513
33,2013,193751
33,2012,205417
33,2011,215481
5,2022,24650
5,2021,25028
5,2020,25084
5,2019,25354
5,2018,25861
5,2017,26757
5,2016,27753
5,2015,28905
5,2014,30182
5,2013,31294
5,2012,33160
5,2011,34521
6,2022,125904
6,2021,127941
6,2020,129666
6,2019,132053
6,2018,135251
6,2017,139183
6,2016,143524
6,2015,147374
6,2014,151993
6,2013,155917
6,2012,159206
6,2011,161870
7,2022,239891
7,2021,242647
7,2020,246774
7,2019,241215
7,2018,236295
7,2017,235441
7,2016,237432
7,2015,243068
7,2014,249936
7,2013,258899
7,2012,268955
7,2011,277301
8,2022,1102391
8,2021,1094327
8,2020,1103638
8,2019,1071144
8,2018,1050408
8,2017,1048433
8,2016,1054184
8,2015,1074711
8,2014,1111028
8,2013,1164651
8,2012,1219308
8,2011,1263539
9,2022,56011
9,2021,56606
9,2020,57117
9,2019,57327
9,2018,57914
9,2017,58951
9,2016,61321
9,2015,63942
9,2014,66752
9,2013,70973
9,2012,74793
9,2011,77676
10,2022,65958
10,2021,67097
10,2020,68141
10,2019,69817
10,2018,71597
10,2017,74259
10,2016,76929
10,2015,79573
10,2014,82043
10,2013,83634
10,2012,86847
10,2011,89206
11,2022,232221
11,2021,233148
11,2020,234897
11,2019,237614
11,2018,242126
11,2017,248778
11,2016,256518
11,2015,264654
11,2014,274110
11,2013,281889
11,2012,294452
11,2011,304274
39,2022,90920
39,2021,90893
39,2020,91258
39,2019,91995
39,2018,93225
39,2017,95749
39,2016,99774
39,2015,104825
39,2014,110434
39,2013,116861
39,2012,122982
39,2011,128383
12,2022,103951
12,2021,103115
12,2020,103150
12,2019,102504
12,2018,102778
12,2017,104603
12,2016,108904
12,2015,114004
12,2014,120619
12,2013,130577
12,2012,138012
12,2011,144266
13,2022,92291
13,2021,93625
13,2020,94553
13,2019,96000
13,2018,98670
13,2017,101455
13,2016,105356
13,2015,110205
13,2014,115145
13,2013,119733
13,2012,124306
13,2011,126993
14,2022,146016
14,2021,148181
14,2020,150503
14,2019,152966
14,2018,155936
14,2017,159418
14,2016,163547
14,2015,168591
14,2014,173745
14,2013,178861
14,2012,183463
14,2011,187649
15,2022,167758
15,2021,168610
15,2020,171076
15,2019,173120
15,2018,176097
15,2017,181575
15,2016,188957
15,2015,197872
15,2014,207959
15,2013,218878
15,2012,231173
15,2011,241767
16,2022,35859
16,2021,36012
16,2020,36062
16,2019,36154
16,2018,36596
16,2017,37268
16,2016,38644
16,2015,40210
16,2014,42440
16,2013,44879
16,2012,48144
16,2011,49416
17,2022,150142
17,2021,148297
17,2020,148134
17,2019,145040
17,2018,142520
17,2017,142365
17,2016,144923
17,2015,149488
17,2014,155685
17,2013,163663
17,2012,170528
17,2011,175961
18,2022,179762
18,2021,181116
18,2020,181222
18,2019,181958
18,2018,183567
18,2017,186876
18,2016,192003
18,2015,197404
18,2014,203507
18,2013,209501
18,2012,216644
18,2011,224190
19,2022,48855
19,2021,48247
19,2020,47607
19,2019,46762
19,2018,46462
19,2017,47016
19,2016,48378
19,2015,50660
19,2014,53812
19,2013,57524
19,2012,61131
19,2011,62808
21,2022,101498
21,2021,101273
21,2020,102028
21,2019,102727
21,2018,103663
21,2017,105938
21,2016,109105
21,2015,113094
21,2014,117020
21,2013,121389
21,2012,126578
21,2011,130907
22,2022,38649
22,2021,38627
22,2020,38422
22,2019,37679
22,2018,37520
22,2017,38184
22,2016,39281
22,2015,40849
22,2014,42465
22,2013,44323
22,2012,46308
22,2011,48262
23,2022,122955
23,2021,124691
23,2020,126223
23,2019,128807
23,2018,131775
23,2017,134804
23,2016,138578
23,2015,142811
23,2014,146970
23,2013,151600
23,2012,156014
23,2011,157102
24,2022,64596
24,2021,65870
24,2020,67532
24,2019,69600
24,2018,71980
24,2017,75126
24,2016,78817
24,2015,83023
24,2014,87089
24,2013,91438
24,2012,95818
24,2011,99920
25,2022,81168
25,2021,80614
25,2020,80567
25,2019,79536
25,2018,79086
25,2017,80100
25,2016,82697
25,2015,85620
25,2014,89065
25,2013,93687
25,2012,98306
25,2011,102386
27,2022,45745
27,2021,46662
27,2020,48023
27,2019,49304
27,2018,50819
27,2017,52603
27,2016,54843
27,2015,57393
27,2014,60418
27,2013,63324
27,2012,66032
27,2011,68475
28,2022,1302939
28,2021,1305731
28,2020,1316377
28,2019,1280669
28,2018,1260379
28,2017,1257673
28,2016,1277649
28,2015,1306190
28,2014,1362844
28,2013,1437722
28,2012,1501146
28,2011,1566232
29,2022,315975
29,2021,313554
29,2020,315201
29,2019,313725
29,2018,313373
29,2017,317789
29,2016,326588
29,2015,335687
29,2014,344855
29,2013,362492
29,2012,373359
29,2011,383261
30,2022,305340
30,2021,301237
30,2020,301340
30,2019,297857
30,2018,296562
30,2017,299967
30,2016,306503
30,2015,317095
30,2014,328483
30,2013,342236
30,2012,356696
30,2011,369518
32,2022,42593
32,2021,42986
32,2020,43818
32,2019,44721
32,2018,46016
32,2017,47625
32,2016,49732
32,2015,52036
32,2014,54899
32,2013,57713
32,2012,60373
32,2011,62970
34,2022,23888
34,2021,24425
34,2020,24993
34,2019,25620
34,2018,26281
34,2017,27131
34,2016,28206
34,2015,29288
34,2014,30578
34,2013,31934
34,2012,33436
34,2011,34550
35,2022,228972
35,2021,230364
35,2020,233706
35,2019,232045
