cpro,provincia,ccaa,año,alquiler_mediano,factor_2020,salario_neto_mes,banda_edad,tasa_esfuerzo,alquiler_real,sobre_30
2,Albacete,Castilla - La Mancha,2011,400.0,1.0717791932800231,551.5204583333333,18-25,72.53,428.71,1
2,Albacete,Castilla - La Mancha,2011,400.0,1.0717791932800231,1051.9444791666667,26-35,38.02,428.71,1
2,Albacete,Castilla - La Mancha,2011,400.0,1.0717791932800231,1223.8132683333333,36-45,32.68,428.71,1
2,Albacete,Castilla - La Mancha,2012,398.8076796940793,1.0461898360861621,489.8675416666667,18-25,81.41,417.23,1
2,Albacete,Castilla - La Mancha,2012,398.8076796940793,1.0461898360861621,978.4268879166667,26-35,40.76,417.23,1
2,Albacete,Castilla - La Mancha,2012,398.8076796940793,1.0461898360861621,1177.4315450000001,36-45,33.87,417.23,1
2,Albacete,Castilla - La Mancha,2013,374.5908333333333,1.031656722448744,420.254375,18-25,89.13,386.45,1
2,Albacete,Castilla - La Mancha,2013,374.5908333333333,1.031656722448744,935.8208204166666,26-35,40.03,386.45,1
2,Albacete,Castilla - La Mancha,2013,374.5908333333333,1.031656722448744,1159.81598,36-45,32.3,386.45,1
2,Albacete,Castilla - La Mancha,2014,359.89485524256645,1.0332160647146191,399.3392083333333,18-25,90.12,371.85,1
2,Albacete,Castilla - La Mancha,2014,359.89485524256645,1.0332160647146191,921.9770091666668,26-35,39.04,371.85,1
2,Albacete,Castilla - La Mancha,2014,359.89485524256645,1.0332160647146191,1153.5289433333335,36-45,31.2,371.85,1
2,Albacete,Castilla - La Mancha,2015,351.3476347634764,1.0384115222946557,404.72408333333334,18-25,86.81,364.84,1
2,Albacete,Castilla - La Mancha,2015,351.3476347634764,1.0384115222946557,934.9990416666666,26-35,37.58,364.84,1
2,Albacete,Castilla - La Mancha,2015,351.3476347634764,1.0384115222946557,1183.8965166666667,36-45,29.68,364.84,0
2,Albacete,Castilla - La Mancha,2016,365.0,1.0405208860397714,416.040125,18-25,87.73,379.79,1
2,Albacete,Castilla - La Mancha,2016,365.0,1.0405208860397714,937.5275916666666,26-35,38.93,379.79,1
2,Albacete,Castilla - La Mancha,2016,365.0,1.0405208860397714,1197.7754466666665,36-45,30.47,379.79,1
2,Albacete,Castilla - La Mancha,2017,370.0,1.0205611862446453,439.68675,18-25,84.15,377.61,1
2,Albacete,Castilla - La Mancha,2017,370.0,1.0205611862446453,957.8192054166666,26-35,38.63,377.61,1
2,Albacete,Castilla - La Mancha,2017,370.0,1.0205611862446453,1222.9235933333332,36-45,30.26,377.61,1
2,Albacete,Castilla - La Mancha,2018,380.7068363273453,1.0037444693258832,475.507875,18-25,80.06,382.13,1
2,Albacete,Castilla - La Mancha,2018,380.7068363273453,1.0037444693258832,997.0749441666667,26-35,38.18,382.13,1
2,Albacete,Castilla - La Mancha,2018,380.7068363273453,1.0037444693258832,1260.4678783333331,36-45,30.2,382.13,1
2,Albacete,Castilla - La Mancha,2019,400.0,0.9967743538313801,514.4506666666667,18-25,77.75,398.71,1
2,Albacete,Castilla - La Mancha,2019,400.0,0.9967743538313801,1047.1402341666667,26-35,38.2,398.71,1
2,Albacete,Castilla - La Mancha,2019,400.0,0.9967743538313801,1317.5257016666667,36-45,30.36,398.71,1
2,Albacete,Castilla - La Mancha,2020,400.311546875,1.0,530.6833333333333,18-25,75.43,400.31,1
