cpro,año,alquiler_mediano,alquiler_m2,superficie_m2,n_contratos,neto_mes_18_25,neto_mes_26_35,neto_mes_36_45,neto_mes_18_34,sal_26_35,paro_total,factor_2020,smi_mes,provincia,ccaa,tasa_esfuerzo,tasa_esfuerzo_18_25,tasa_esfuerzo_36_45,tasa_esfuerzo_18_34,sobre_30,alquiler_real,salario_real_26_35,D_2021,alquiler_mediano_lag1,neto_mes_26_35_lag1,paro_total_lag1,tasa_esfuerzo_lag1,var_alquiler_pct,var_salario_pct
2,2011,400.0,4.423480930833873,96.0,6895.0,551.5204583333333,1051.9444791666667,1223.8132683333333,900.4482305014939,14750.0,24.71,1.0717791932800231,641.4,Albacete,Castilla - La Mancha,38.02,72.53,32.68,44.42,1,428.71,1127.45,0,,,,,,
2,2012,398.8076796940793,4.302625785534163,96.0,6924.0,489.8675416666667,978.4268879166667,1177.4315450000001,839.9230239625812,13587.0,31.92,1.0461898360861621,641.4,Albacete,Castilla - La Mancha,40.76,81.41,33.87,47.48,1,417.23,1023.62,0,400.0,1051.9444791666667,24.71,38.02,-0.2980800764801783,-6.988733027834271
2,2013,374.5908333333333,4.109619888308413,96.0,7076.0,420.254375,935.8208204166666,1159.81598,790.1353425688422,12913.0,30.99,1.031656722448744,645.3,Albacete,Castilla - La Mancha,40.03,89.13,32.3,47.41,1,386.45,965.45,0,398.8076796940793,978.4268879166667,31.92,40.76,-6.0723119422681275,-4.354547899917172
2,2014,359.89485524256645,4.031054405392393,96.0,7498.0,399.3392083333333,921.9770091666668,1153.5289433333335,770.8552023012144,12694.0,27.52,1.0332160647146191,645.3,Albacete,Castilla - La Mancha,39.04,90.12,31.2,46.69,1,371.85,952.6,0,374.5908333333333,935.8208204166666,30.99,40.03,-3.9232081468714153,-1.4793228519788593
2,2015,351.3476347634764,3.9650404898281644,96.0,8067.0,404.72408333333334,934.9990416666666,1183.8965166666667,774.3536824766926,12900.0,24.68,1.0384115222946557,648.6,Albacete,Castilla - La Mancha,37.58,86.81,29.68,45.37,1,364.84,970.91,0,359.89485524256645,921.9770091666668,27.52,39.04,-2.374921551276221,1.4124031695508243
2,2016,365.0,4.0540540540540535,96.0,8643.0,416.040125,937.5275916666666,1197.7754466666665,773.715127279544,12940.0,23.83,1.0405208860397714,655.2,Albacete,Castilla - La Mancha,38.93,87.73,30.47,47.17,1,379.79,975.52,0,351.3476347634764,934.9990416666666,24.68,37.58,3.88571428571427,0.2704334322624291
2,2017,370.0,4.109353402975673,96.0,9390.0,439.68675,957.8192054166666,1222.9235933333332,789.1733843405552,13261.0,23.16,1.0205611862446453,707.7,Albacete,Castilla - La Mancha,38.63,84.15,30.26,46.88,1,377.61,977.51,0,365.0,937.5275916666666,23.83,38.93,1.3698630136986356,2.1643751000359535
2,2018,380.7068363273453,4.2105263157894735,96.0,10126.0,475.507875,997.0749441666667,1260.4678783333331,822.1258035406191,13882.0,19.73,1.0037444693258832,735.9,Albacete,Castilla - La Mancha,38.18,80.06,30.2,46.31,1,382.13,1000.81,0,370.0,957.8192054166666,23.16,38.63,2.893739547931151,4.098449741663224
2,2019,400.0,4.469693877551021,96.0,10728.0,514.4506666666667,1047.1402341666667,1317.5257016666667,860.7317316321019,14674.0,17.19,0.9967743538313801,900.0,Albacete,Castilla - La Mancha,38.2,77.75,30.36,46.47,1,398.71,1043.76,0,380.7068363273453,997.0749441666667,19.73,38.18,5.067721887732479,5.0212163381403
2,2020,400.311546875,4.545454545454546,96.0,11286.0,530.6833333333333,1050.8698454166667,1321.9740766666666,880.0565603013611,14733.0,18.26,1.0,950.0,Albacete,Castilla - La Mancha,38.09,75.43,30.28,45.49,1,400.31,1050.87,0,400.0,1047.1402341666667,17.19,38.2,0.07788671874999764,0.3561711343245344
2,2021,425.0,4.702912092672121,96.0,11750.0,569.2359166666666,1130.2787700000001,1381.9381716666667,935.2252545906937,16026.0,15.53,0.9699974935414286,950.0,Albacete,Castilla - La Mancha,37.6,74.66,30.75,45.44,1,412.25,1096.37,1,400.311546875,1050.8698454166667,18.26,38.09,6.167309766038098,7.556494739065234
2,2022,450.0,4.88967277224251,96.0,12162.0,603.7303333333333,1183.0068416666666,1435.3186716666667,972.9490319250405,16915.0,12.85,0.8949107299739896,1000.0,Albacete,Castilla - La Mancha,38.04,74.54,31.35,46.25,1,402.71,1058.69,1,425.0,1130.2787700000001,15.53,37.6,5.882352941176472,4.665050168700091
2,2023,456.0,5.128205128205129,95.0,12697.0,648.3878991666667,1241.132275,1499.6125183333334,1022.3692582734355,17895.0,11.96,0.8643768521205406,1080.0,Albacete,Castilla - La Mancha,36.74,70.33,30.41,44.6,1,394.16,1072.81,1,450.0,1183.0068416666666,12.85,38.04,1.333333333333342,4.913364089377881
2,2024,485.0,5.365714114545891,96.0,13227.0,673.2941166666666,1303.8840183333332,1550.383305,1065.4459068059762,18953.0,11.32,0.8410456579083591,1134.0,Albacete,Castilla - La Mancha,37.2,72.03,31.28,45.52,1,407.91,1096.63,1,456.0,1241.132275,11.96,36.74,6.359649122807021,5.056007695338782
3,2011,385.27777777777777,4.5024671052631575,88.0,24044.0,510.78270833333335,977.5418954166666,1184.1337633333335,853.1573599726091,13573.0,23.91,1.0717791932800231,641.4,Alicante/Alacant,Comunitat Valenciana,39.41,75.43,32.54,45.16,1,412.93,1047.71,0,,,,,,
3,2012,368.82,4.365903196782047,88.0,25971.0,462.4749166666666,934.5565454166667,1145.1066866666667,814.5526538989476,12893.0,28.03,1.0461898360861621,641.4,Alicante/Alacant,Comunitat Valenciana,39.46,79.75,32.21,45.28,1,385.86,977.72,0,385.27777777777777,977.5418954166666,23.91,39.41,-4.271665465032449,-4.39728979407864
3,2013,350.0,4.223988275306129,88.0,28852.0,421.3469583333333,910.6617479166667,1140.599,785.8189234630639,12515.0,28.26,1.031656722448744,645.3,Alicante/Alacant,Comunitat Valenciana,38.43,83.07,30.69,44.54,1,361.08,939.49,0,368.82,934.5565454166667,28.03,39.46,-5.10276015400466,-2.556805965052289
3,2014,350.0,4.205607476635514,88.0,33087.0,403.08520833333336,899.9786241666667,1142.0224799999999,766.7926312188908,12346.0,26.03,1.0332160647146191,645.3,Alicante/Alacant,Comunitat Valenciana,38.89,86.83,30.65,45.64,1,361.63,929.87,0,350.0,910.6617479166667,28.26,38.43,0.0,-1.1731165577603342
3,2015,350.0,4.194139695345952,89.0,38025.0,411.51370833333334,904.1507316666666,1164.2050433333334,762.431821180386,12412.0,24.22,1.0384115222946557,648.6,Alicante/Alacant,Comunitat Valenciana,38.71,85.05,30.06,45.91,1,363.44,938.88,0,350.0,899.9786241666667,26.03,38.89,0.0,0.46357851041884945
3,2016,354.1666666666667,4.301075268817204,89.0,42302.0,421.03479166666665,913.4431529166667,1186.2689833333334,762.8576439374189,12559.0,20.8,1.0405208860397714,655.2,Alicante/Alacant,Comunitat Valenciana,38.77,84.12,29.86,46.43,1,368.52,950.46,0,350.0,904.1507316666666,24.22,38.71,1.1904761904761862,1.0277513388581738
3,2017,369.7355289421157,4.411764705882352,89.0,46945.0,440.857375,931.7119266666667,1208.2142999999999,772.7111884580777,12848.0,18.11,1.0205611862446453,707.7,Alicante/Alacant,Comunitat Valenciana,39.68,83.87,30.6,47.85,1,377.34,950.87,0,354.1666666666667,913.4431529166667,20.8,38.77,4.395914054244421,1.999990222890946
3,2018,383.36416975030835,4.545454545454546,89.0,50545.0,466.2989583333333,967.6173366666667,1244.4537283333332,799.3689583532113,13416.0,16.17,1.0037444693258832,735.9,Alicante/Alacant,Comunitat Valenciana,39.62,82.21,30.81,47.96,1,384.8,971.24,0,369.7355289421157,931.7119266666667,18.11,39.68,3.686051174791549,3.8537029496291453
3,2019,400.0,4.918032786885246,89.0,54759.0,499.93491666666665,1013.3208779166667,1289.3526600000002,835.4749656948906,14139.0,14.85,0.9967743538313801,900.0,Alicante/Alacant,Comunitat Valenciana,39.47,80.01,31.02,47.88,1,398.71,1010.05,0,383.36416975030835,967.6173366666667,16.17,39.62,4.339432728031634,4.723307398298959
3,2020,412.4983333333333,5.012676657866128,89.0,58443.0,486.12154166666664,979.8808041666666,1251.9269983333334,821.8454399438591,13610.0,18.03,1.0,950.0,Alicante/Alacant,Comunitat Valenciana,42.1,84.85,32.95,50.19,1,412.5,979.88,0,400.0,1013.3208779166667,14.85,39.47,3.1245833333333195,-3.300047840596265
