territory_name,territory_type,year,sex,age_group,salary_annual_eur,salary_missing_flag,salary_low_sample_flag,salary_source,salary_observed_flag,salary_imputed_flag,imputation_method
Andalucía,CCAA,2010,Hombres,25_34,19574.29,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2011,Hombres,25_34,18903.23,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2012,Hombres,25_34,18590.66,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2013,Hombres,25_34,17277.45,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2014,Hombres,25_34,17586.35,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2015,Hombres,25_34,17714.8,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2016,Hombres,25_34,17555.24,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2017,Hombres,25_34,17724.05,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2018,Hombres,25_34,18269.69,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2019,Hombres,25_34,17978.73,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2020,Hombres,25_34,18357.06,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2021,Hombres,25_34,19392.38,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2022,Hombres,25_34,20387.79,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2023,Hombres,25_34,21229.15,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2010,Hombres,35_44,23309.14,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2011,Hombres,35_44,23867.78,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2012,Hombres,35_44,23907.53,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2013,Hombres,35_44,23732.35,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2014,Hombres,35_44,23661.96,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2015,Hombres,35_44,23108.34,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2016,Hombres,35_44,22986.9,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2017,Hombres,35_44,23640.31,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2018,Hombres,35_44,24243.78,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2019,Hombres,35_44,24278.3,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2020,Hombres,35_44,24148.1,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2021,Hombres,35_44,24123.61,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2022,Hombres,35_44,24959.05,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2023,Hombres,35_44,26000.43,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2010,Hombres,45_54,27340.45,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2011,Hombres,45_54,27688.86,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2012,Hombres,45_54,26517.65,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2013,Hombres,45_54,26139.32,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2014,Hombres,45_54,27779.72,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2015,Hombres,45_54,27700.63,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2016,Hombres,45_54,27278.07,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2017,Hombres,45_54,27172.67,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2018,Hombres,45_54,27414.75,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2019,Hombres,45_54,26630.49,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2020,Hombres,45_54,27081.25,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2021,Hombres,45_54,28217.42,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2022,Hombres,45_54,28785.99,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2023,Hombres,45_54,30704.19,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2010,Hombres,55_plus,29456.21,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2011,Hombres,55_plus,28568.13,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2012,Hombres,55_plus,27342.98,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2013,Hombres,55_plus,29133.79,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2014,Hombres,55_plus,27341.89,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2015,Hombres,55_plus,29775.09,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2016,Hombres,55_plus,29262.8,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2017,Hombres,55_plus,28379.2,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2018,Hombres,55_plus,31167.99,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2019,Hombres,55_plus,30212.41,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2020,Hombres,55_plus,29513.55,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2021,Hombres,55_plus,29344.47,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2022,Hombres,55_plus,31170.39,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2023,Hombres,55_plus,31191.0,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2010,Hombres,all_ages,23463.96,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2011,Hombres,all_ages,23815.22,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2012,Hombres,all_ages,23592.08,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2013,Hombres,all_ages,23565.36,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2014,Hombres,all_ages,23541.32,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2015,Hombres,all_ages,24200.2,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2016,Hombres,all_ages,24026.82,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2017,Hombres,all_ages,24175.52,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2018,Hombres,all_ages,24712.69,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2019,Hombres,all_ages,24527.67,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2020,Hombres,all_ages,24785.82,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2021,Hombres,all_ages,25464.78,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2022,Hombres,all_ages,26189.5,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2023,Hombres,all_ages,27085.5,0,0,INE_EES_28201,1,0,
Andalucía,CCAA,2010,Hombres,lt_25,13545.47,0,1,INE_EES_28201,1,0,
Andalucía,CCAA,2011,Hombres,lt_25,12554.48,0,1,INE_EES_28201,1,0,
Andalucía,CCAA,2012,Hombres,lt_25,10936.94,0,1,INE_EES_28201,1,0,
Andalucía,CCAA,2013,Hombres,lt_25,11088.59,0,1,INE_EES_28201,1,0,
Andalucía,CCAA,2014,Hombres,lt_25,11518.02,0,1,INE_EES_28201,1,0,
